,Zipcode,Zillow_value_per_Zip_x,Unnamed: 0,Zillow_value_per_Zip_y,State,City,Street,Bedroom,Bathroom,Area,PPSq,LotArea,Latitude,Longitude,ListedPrice,PriceTier
44,85042,388808.5045,44,388808.5045,AZ,Phoenix,E Beth Dr,3,2.0,2041,477.7070064,0.150803489,33.57214,-111.83298,975000,between 901 and million
45,85043,369246.0708,45,369246.0708,AZ,Phoenix,S 79th Dr,4,2.5,2083,435.9097456,0.070247934,33.587467,-111.88932,908000,between 901 and million
46,85044,481592.4795,46,481592.4795,AZ,Phoenix,E Ahwatukee Dr,4,1.75,1620,253.0864198,0.169880624,33.403294,-111.67821,410000,between 401 and 450
47,85044,481592.4795,47,481592.4795,AZ,Phoenix,S Half Moon Dr,2,2.5,1836,626.3616558,0.168503214,33.842525,-111.86422,1150000,between a million and 1.25
48,85045,655778.1775,48,655778.1775,AZ,Phoenix,S Reserve Dr,2,1.75,1712,204.4392523,0.208907254,33.658924,-112.34659,350000,between 301 and 350
49,85045,655778.1775,49,655778.1775,AZ,Phoenix,S 6th Ave,2,1.75,1302,318.7403994,0.433884298,33.674164,-112.3372,415000,between 401 and 450
50,85048,569940.4317,52,569940.4317,AZ,Phoenix,S 11th Way,4,2.5,2030,221.6256158,0.124655647,33.630703,-112.40694,449900,between 401 and 450
51,85048,569940.4317,50,569940.4317,AZ,Phoenix,E Silverwood Dr,3,2.0,1482,327.2604588,0.161294766,33.30071,-111.826454,485000,between 451 and 500
52,85048,569940.4317,51,569940.4317,AZ,Phoenix,S Mountain Stone Trl,3,2.5,3166,221.0991788,0.176606979,33.230087,-111.88134,700000,between 651 and 700
53,85050,611144.3607,54,611144.3607,AZ,Phoenix,E Renee Dr,2,2.0,1540,324.025974,0.185055096,33.35956,-111.45754,499000,between 451 and 500
54,85050,611144.3607,53,611144.3607,AZ,Phoenix,E Cat Balue Dr,3,2.0,1510,993.3774834,3.48,33.2349,-111.57511,1500000,between 1.25 and 1.5
55,85053,381308.5227,55,381308.5227,AZ,Phoenix,N 27th Dr,3,2.5,1982,272.4520686,0.105716253,33.735016,-112.114655,540000,between 501 and 550
56,85085,645658.3981,57,645658.3981,AZ,Phoenix,N 25th Dr,5,3.0,2549,205.9238917,0.15094123,33.427547,-112.43372,524900,between 501 and 550
57,85085,645658.3981,56,645658.3981,AZ,Phoenix,W Big Oak St,3,2.0,2128,399.4360902,0.164302112,33.78715,-111.92506,850000,between 801 and 850
58,85086,613616.2227,62,613616.2227,AZ,Anthem,W Turtle Hill Dr,4,2.0,1519,243.5813035,0.135651974,33.499386,-112.32495,370000,between 351 and 400
59,85086,613616.2227,61,613616.2227,AZ,Phoenix,W Tanya Trl,4,2.0,1520,256.5131579,0.11365932,33.393604,-112.09288,389900,between 351 and 400
60,85086,613616.2227,59,613616.2227,AZ,Anthem,W Wayne Ln,3,2.5,1886,217.3907741,0.075757576,33.378056,-111.65103,409999,between 401 and 450
61,85086,613616.2227,63,613616.2227,AZ,Anthem,W Haley Dr,5,3.5,3701,171.5752499,0.180555556,33.693184,-112.31862,635000,between 601 and 650
62,85086,613616.2227,58,613616.2227,AZ,Anthem,W Owens Way,5,3.5,3454,202.6635785,0.195615243,33.486645,-112.37141,700000,between 651 and 700
63,85086,613616.2227,60,613616.2227,AZ,Phoenix,W Joy Ranch Rd,4,2.75,3233,293.8447263,0.247933884,33.298565,-112.12278,950000,between 901 and million
64,85118,494069.1491,65,494069.1491,AZ,Gold Canyon,E Massai Point,5,3.0,2423,198.101527,0.11365932,33.42677,-112.27789,480000,between 451 and 500
65,85118,494069.1491,64,494069.1491,AZ,Gold Canyon,S Mashie Ct,5,2.5,2687,189.4305917,0.126721763,33.568043,-112.4522,509000,between 501 and 550
