State,City,Street,Zipcode,Bedroom,Bathroom,Area,PPSq,LotArea,Latitude,Longitude,ListedPrice
AZ,Prescott,Bear Dr,86305,3,2,1215,148.1481481,0.17,32.816208,-109.721275,180000
AZ,Prescott,Sunflower Dr,86305,4,4,2593,376.0123409,4.02,34.653244,-112.34833,975000
AZ,Prescott Valley,N Robert Rd,86314,3,2,1284,248.8317757,0.1,32.112144,-110.855545,319500
AZ,Prescott Valley,E Kilkenny Pl,86314,4,3,2239,131.7105851,0.24,35.118996,-114.58014,294900
AZ,Prescott Valley,N Treasure Cir,86314,3,2,1443,190.5751906,0.27,35.38631,-113.853615,275000
AZ,Prescott Valley,N Hudson Ct,86314,2,1,1020,342.1568627,2.13,34.423332,-112.41901,349000
AZ,Prescott Valley,Summit Vis,86315,5,4,3104,209.4072165,0.94,35.175545,-114.510056,650000
AZ,Prescott Valley,N Copperfield Pkwy,86315,3,2,1080,350.9259259,0.147796143,33.421886,-111.87217,379000
AZ,Chino Valley,Caliche Dr,86323,2,2,1837,293.4131737,0.165656566,33.687714,-112.334404,539000
AZ,Cornville,S Rising View Ct,86325,4,4,3418,201.87244,1,35.20583,-114.16934,690000
AZ,Cornville,E Cedar Creek Dr,86325,3,2,1869,214.0181915,0.13902663,33.073925,-112.03296,400000
AZ,Cottonwood,S Happy Trl,86326,2,3,1943,231.6006176,0.164738292,33.211487,-111.86079,450000
AZ,Cottonwood,S Gray Bar Dr,86326,3,2,1502,219.7070573,0.14,35.264065,-113.97277,330000
AZ,Cottonwood,N Rio Verde Cir,86326,3,3,2946,308.5539715,0.32,34.259632,-111.286896,909000
AZ,Dewey,N Diaz St,86327,5,2.5,2121,289.9575672,0.275482094,33.66616,-112.04957,615000
AZ,Dewey,N Stirrup High Dr W,86327,4,2.5,1824,219.2982456,0.15355831,33.38753,-112.16405,400000
AZ,Dewey,E Delgado St,86327,4,3,2539,374.1630563,0.442653811,33.702465,-112.23485,950000
AZ,Paulden,N State Highway 89,86334,4,2,1909,189.6280775,1.0695,35.213837,-114.26166,362000
AZ,Sedona,El Camino Rd,86336,3,2,1593,185.1851852,0.144237833,35.273354,-114.01941,295000
AZ,Kingman,N Ironwood Dr,86401,3,2,1205,197.1784232,,35.214607,-114.25968,237600
AZ,Kingman,N Stampede Rd,86401,3,2.5,2530,223.3201581,0.227272727,33.678406,-112.3423,565000
AZ,Lake Havasu City,Biscayne Ln,86403,3,2,2050,304.8780488,0.157598714,33.303688,-112.08138,625000
AZ,Lake Havasu City,San Juan Dr,86403,3,2,1836,272.2766885,0.167722681,33.598915,-112.43622,499900
AZ,Lake Havasu City,Fountain Palm Dr,86404,2,2,1425,256.1403509,0.158402204,33.66647,-112.3419,365000
AZ,Lake Havasu City,Jacob Row,86404,4,3,2448,230.8006536,0.426331497,33.375404,-112.203125,565000
AZ,Lake Havasu City,McCulloch Blvd S,86406,5,3.5,3758,223.5231506,0.229568411,33.24371,-111.72314,840000
AZ,Lake Havasu City,/3225 Silver Bell Dr,86406,3,3,2782,233.6448598,0.21,32.53392,-110.89107,650000
AZ,Lake Havasu City,Palmer Dr,86406,3,2,1928,445.5394191,0.39,34.52375,-112.470856,859000
AZ,Lake Havasu City,Green Pl,86406,5,4,3031,362.9165292,0.38,34.453472,-114.293884,1100000
AZ,Lake Havasu City,Clearwater Dr,86406,4,2,1586,176.481715,0.2,32.179726,-110.97345,279900
AZ,Lake Havasu City,Monterey Dr,86406,3,2,1483,228.5906945,0.12,31.904882,-110.980385,339000
AZ,Lake Havasu City,Sturgeon Dr,86406,5,4,2996,667.5567423,1.04,34.85918,-111.81261,2000000
AZ,Kingman,E Colina Vis,86409,3,2,1497,500.9352037,0.163108356,33.465046,-112.08886,749900
AZ,Golden Valley,Copperville Rd,86413,2,2,1360,275.7352941,0.13510101,33.461464,-111.69934,375000
AZ,Golden Valley,S Houck Rd,86413,3,2.5,2254,203.6379769,0.167791552,33.575573,-112.29407,459000
AZ,Golden Valley,W Shipp Dr,86413,2,2,1522,249.6714849,0.134205693,33.57575,-112.26289,380000
AZ,Golden Valley,W Rosario Ct,86413,2,2,1107,289.0695574,0.046120294,33.606922,-112.11309,320000
AZ,Bullhead City,Kingman Dr,86429,3,2,1320,359.8484848,0.159527089,33.565758,-112.053185,475000
AZ,Bullhead City,La Puerta Rd,86429,4,3.5,4655,730.3974221,1.0549,33.52482,-112.00726,3400000
AZ,Yucca,S Cheyenne Rd,86438,3,2.5,3009,448.6540379,0.356496786,33.54293,-112.03101,1350000
AZ,Mohave Valley,S Jamaica Dr,86440,3,2,2290,340.6113537,0.204522498,33.593613,-112.000404,780000
AZ,Bullhead City,El Campo,86442,3,2,2124,423.6817326,0.817929293,33.587444,-111.943825,899900
AZ,Bullhead City,Arcadia Blvd,86442,5,3.5,3685,677.0691995,1.0321,33.573795,-111.95091,2495000
